Gene id	PTTSmmMPDMSO1	PTTSmmMPGL1
B230110C06Rik	0.026336	0.044542
B230110G15Rik	0.027437	0.059396
B230112J18Rik	0.058666	0.132296
B230118H07Rik	0.690978	1.004507
B230206H07Rik	0.022153	0.064229
B230206L02Rik	0.143611	0.111034
B230208H11Rik	0.111946	0.081559
B230216G23Rik	0.061043	0.097610
B230216N24Rik	0.622323	0.949566
B230217C12Rik	0.226445	0.232628
B230217O12Rik	0.043098	0.077751
B230219D22Rik	12.635803	16.864104
B230307C23Rik	0.881868	1.269931
B230312C02Rik	0.092428	0.177714
B230317F23Rik	0.071686	0.119816
B230323A14Rik	0.022733	0.051264
B230325K18Rik	0.583098	0.810567
B230344G16Rik	0.026206	0.021275
B230354K17Rik	1.600323	2.206825
B230369F24Rik	0.159984	0.258554
B230398E01Rik	0.528819	0.897641
B2m	925.616602	969.796595
B3galnt1	1.090252	1.204705
B3galnt2	3.832001	5.192597
B3galt1	0.010981	0.061552
B3galt2	0.507980	0.882891
B3galt4	3.287769	3.684586
B3galt5	0.034858	0.062886
B3galt6	1.566015	1.840573
B3gat1	0.023434	0.042276
B3gat2	0.306775	0.407982
B3gat3	14.935436	15.937175
B3glct	2.707721	3.695149
B3gnt1	5.521004	5.881162
B3gnt2	4.536702	4.939021
B3gnt3	4.394707	4.017336
B3gnt4	0.305186	0.550569
B3gnt5	0.402866	0.697210
B3gnt6	0.103973	0.111371
B3gnt7	0.480813	0.417469
B3gnt8	6.109213	5.538322
B3gnt9	0.335121	0.501796
B3gntl1	1.411072	1.666983
B430010I23Rik	0.368499	0.299155
B430203G13Rik	0.283673	0.372189
B430212C06Rik	0.079478	0.090192
B430218F22Rik	0.032942	0.059429
B430305J03Rik	0.476393	0.412106
B430306N03Rik	14.253431	25.318969
B430319H21Rik	0.232259	0.293304
B4galnt1	13.069333	9.797309
B4galnt2	1.361870	2.362649
B4galnt3	0.032988	0.063232
B4galnt4	0.029798	0.058237
B4galt1	12.640539	16.397567
B4galt2	0.055599	0.124288
